1,0,46.06,1,1,0,48850
1,1,59.09,1,1,0,46540
5,2,278.95,2,1,1,71662
3,2,207,2,1,1,57972
2,1,53.32,0,1,1,71268
2,1,58,0,1,1,70690
2,1,55.8,0,1,1,57348
2,1,58.9,1,1,1,55179
2,1,66.9,1,1,1,45591
2,2,53,1,1,0,73585
2,2,94.19,1,1,0,60516
1,0,38.94,2,1,0,56498
1,0,48,2,1,0,55209
1,0,36.74,1,1,0,54437
1,0,45,0,1,0,53334
1,1,92.98,1,1,0,50549
1,1,64.6,1,1,0,68576
1,1,80.74,0,1,0,66634
1,1,81,0,1,0,66050
1,1,78.23,0,1,0,67749
4,2,218.28,0,1,1,71010
1,1,46,0,1,0,52174
1,1,46.39,0,1,0,45700
2,1,58,0,1,0,45690
1,1,46.39,2,1,0,45269
1,0,46.39,1,1,0,44191
1,1,46.39,0,1,0,44191
1,1,60.56,2,1,0,43429
1,1,48.44,2,1,0,39637
1,0,71.77,2,1,0,36227
3,1,141,2,1,0,45036
3,1,143.19,0,1,0,39109
3,2,146.72,1,1,0,38509
3,2,155.3,2,1,0,77270
3,2,150.4,1,1,0,74469
2,2,119.13,1,1,0,73869
3,2,139.01,2,1,0,71938
1,0,46.44,2,1,0,71060
4,2,192.68,2,1,0,70065
2,2,116.64,1,1,0,65587
2,2,117,1,1,0,63077
1,0,66.36,2,1,0,61785
1,0,54.62,2,1,0,60418
1,0,53.44,0,1,0,58009
4,2,212,0,1,0,99057
2,1,79,2,1,1,49368
3,2,135.62,1,1,1,48666
2,1,111.1,2,1,1,47705
1,0,62.56,0,1,1,40122
1,0,49.96,0,1,1,86069
1,1,76.17,1,1,1,72207
1,1,89.2,1,1,1,67265
2,1,89.2,1,1,1,64462
2,1,57.5,1,1,1,114435
2,1,57.7,1,1,1,114039
1,1,48.4,1,1,1,111571
2,1,58.3,0,1,1,111493
2,1,51.3,1,1,1,105264
2,1,57.7,2,1,1,104853
2,1,74,2,1,1,104055
3,1,72.9,2,1,1,97394
2,1,59.1,2,1,1,94755
1,1,93.78,1,1,0,64513
3,2,133.58,0,1,0,59890
3,2,163.68,2,1,0,58652
3,2,133.05,0,1,0,58475
4,2,147.09,0,1,0,58332
3,2,145.87,2,1,0,58272
2,2,94.15,2,1,0,60542
2,2,87.81,2,1,0,56942
2,2,88.88,0,1,0,56256
3,2,127.79,0,1,0,62603
2,1,68.69,0,1,0,61145
1,1,63,1,1,0,58731
2,2,110.71,2,1,0,58712
2,2,105,0,1,0,52381
2,1,50.4,2,1,1,134921
2,1,48.5,0,1,1,112372
2,1,62.1,2,1,1,101450
3,1,71.78,2,1,1,87769
2,1,53.79,0,1,1,98532
1,1,46.87,2,1,1,96011
1,1,46.87,0,1,1,93877
3,2,89.12,0,1,1,84493
2,1,71,0,1,1,73240
2,1,88.4,0,1,1,113123
2,1,40.1,0,1,0,109477
2,1,51.38,1,1,1,108992
2,1,55,0,1,0,106910
1,1,43.5,2,1,1,106897
2,1,55,0,1,1,105455
1,1,42.8,0,1,1,105141
3,1,67.1,0,1,1,103577
2,1,50.4,2,1,0,103175
2,1,82.8,2,1,1,96619
2,1,63,0,1,0,95556
2,1,61.8,0,1,1,95470
2,1,59.3,1,1,0,92749
2,1,63.5,2,1,0,92599
2,1,64.2,2,1,0,91745
2,1,64,2,1,0,90625
3,2,134.6,0,1,0,89154
3,1,67,0,1,1,86568
3,1,73.18,0,1,1,81990
2,1,50.39,2,1,1,80374
3,1,69,1,1,1,80000
1,1,46.6,0,1,1,78970
3,1,56.5,1,1,1,78762
3,1,72,2,1,1,76389
2,1,59,1,1,1,76272
1,1,43.31,1,1,1,76195
2,1,59.33,2,1,1,75847
2,1,60,1,1,1,75000
2,1,58.38,0,1,1,73656
1,1,46.07,2,1,1,72716
2,1,59.33,2,1,1,71634
1,1,36.7,2,1,1,70845
2,1,57.84,2,1,1,74344
2,1,57.84,2,1,1,72615
3,1,70.21,2,1,1,70503
2,1,64.34,1,1,1,69941
3,0,88.69,0,1,1,60887
2,1,47.5,2,1,1,85264
2,1,46.39,0,1,1,84070
1,1,44,2,1,1,83637
3,1,62.64,0,1,1,83015
3,1,111.04,0,1,1,80602
3,1,111.04,0,1,1,80152
3,0,73.45,2,1,1,74881
2,1,54.41,0,1,1,71679
4,2,200.46,1,1,0,114737
1,1,56.46,0,1,0,114418
2,1,75.73,0,1,0,110261
2,1,74.75,2,1,1,109031
3,1,88.76,0,1,1,108157
2,1,66.64,0,1,0,108044
1,1,58.99,1,1,0,105951
2,2,75.42,0,1,0,105410
2,1,71.79,2,1,1,101686
2,1,72.79,2,1,0,100289
2,1,65.12,1,1,0,98281
3,1,88.86,0,1,0,90030
2,2,65.59,2,1,0,76232
2,1,52.2,1,1,0,74713
3,1,88,2,1,0,70455
3,1,88.24,1,1,0,67997
2,1,68,1,1,0,66177
1,1,43.55,2,1,0,91849
5,1,148.4,0,1,0,114556
2,2,84.61,0,1,1,66896
2,1,58.52,2,1,0,58955
2,1,57.85,2,1,0,56180
2,1,59.06,0,1,0,54183
2,1,63.88,0,1,0,68097
2,1,61,2,1,0,55738
3,1,84.25,1,1,0,55193
3,1,78.63,2,1,0,52398
2,1,55.27,1,1,0,61336
2,1,51.21,0,1,0,56630
2,1,53.24,2,1,0,72315
3,1,74.57,1,1,0,60346
3,1,74.57,2,1,0,58335
2,1,73.87,1,1,0,56857
3,1,63.32,2,1,0,56855
2,1,56.98,2,1,0,56161
3,1,76.1,2,1,0,65704
2,1,51,0,1,0,58824
2,1,57.26,2,1,0,66714
1,1,42,2,1,0,57858
2,1,52.98,2,1,1,73613
2,1,67,0,1,1,71642
2,0,50,2,1,1,70000
2,1,75,2,1,1,66667
2,1,71.17,2,1,1,64353
3,1,74.82,0,1,1,56135
1,1,63,0,1,1,75397
2,2,82.27,1,1,1,75362
2,1,80.19,1,1,1,71082
2,1,71.75,0,1,1,69687
2,1,60.19,2,1,1,54827
3,1,80,2,1,1,53750
2,1,64.21,1,1,1,74755
1,1,51.01,2,1,1,56852
3,1,82.19,2,1,1,52927
3,2,119.01,2,1,1,63020
1,1,48,2,1,1,62500
2,1,59,2,1,1,60339
2,1,103.82,1,1,1,57793
2,1,85.11,1,1,1,57573
2,1,104.99,2,1,1,57149
2,2,77.24,0,1,1,53729
2,1,94.15,2,1,1,53107
2,1,85,0,1,1,50589
2,1,85.11,1,1,1,50523
3,2,139.5,1,1,1,50180
2,1,111.55,1,1,1,47961
4,2,185,1,1,1,47568
2,1,53.69,0,1,1,59602
2,1,56.4,0,1,1,59398
2,1,57.09,0,1,1,58680
2,1,58,1,1,1,58621
1,1,40.4,0,1,1,56931
3,1,78.3,1,1,1,56195
2,1,57.09,0,1,1,56052
2,1,57.09,1,1,1,55177
2,1,57.43,1,0,1,54850
2,1,54.21,2,1,1,77477
2,2,67.15,1,1,1,67015
2,1,56.76,2,1,1,66949
1,1,44.95,2,1,1,66741
3,1,76.5,2,1,1,65360
2,1,70,1,1,1,62858
2,2,71,1,1,1,62677
3,1,83.59,2,1,1,59816
